Date,Volume
1409209204000,726
1409209225000,716
1409209235000,716
1409209241000,723
1409209252000,710
1409209262000,710
1409209273000,709
1409209283000,709
1409209295000,709
1409209301000,710
1409209313000,709
1409209324000,709
1409209332000,684
1409209342000,684
1409209351000,684
1409209362000,685
1409209373000,684
1409209385000,684
1409209394000,683
1409209401000,684
1409209412000,684
1409209421000,683
1409209430000,683
1409209442000,683
1409209452000,682
1409209463000,682
1409209472000,682
1409209482000,686
1409209493000,684
1409209503000,684
1409209514000,684
1409209524000,683
1409209532000,683
1409209543000,683
1409209552000,683
1409209562000,683
1409209573000,685
1409209582000,683
1409209591000,683
1409209605000,684
1409209612000,684
1409209624000,684
1409209631000,682
1409209643000,683
1409209653000,683
1409209662000,682
1409209673000,683
1409209683000,683
1409209691000,682
1409209704000,683
1409209716000,683
1409209721000,682
1409209731000,681
1409209753000,615
1409209762000,874
1409209774000,874
1409209782000,694
1409209792000,695
1409209804000,695
1409209814000,721
1409209823000,694
1409209832000,694
1409209845000,928
1409209852000,923
1409209861000,923
1409209882000,931
1409209893000,931
1409209902000,701
1409209914000,853
1409209924000,853
1409209930000,851
1409209940000,1270
1409209952000,1270
1409209965000,1062
1409209973000,1034
1409209983000,1034
1409209994000,1030
1409210001000,1030
1409210014000,1030
1409210034000,1025
1409210042000,1025
1409210051000,1030
1409210062000,1031
1409210073000,1031
1409210083000,1030
1409210092000,1029
1409210101000,1029
1409210114000,1030
1409210123000,1028
1409210134000,1028
1409210141000,1030
1409210156000,1028
1409210162000,1028
1409210175000,1029
1409210183000,1031
1409210203000,1027
1409210211000,1028
1409210225000,1028
1409210235000,1028
1409210242000,1027
1409210251000,1027
1409210262000,1030
1409210272000,1032
1409210294000,1031
1409210303000,1029
1409210312000,1029
1409210325000,1028
1409210333000,1028
1409210345000,1028
1409210355000,1027
1409210363000,1029
1409210373000,1029
1409210383000,1016
1409210391000,1012
1409210402000,1012
1409210412000,1012
1409210422000,1016
1409210445000,1014
1409210462000,1014
1409210471000,1012
1409210482000,1014
1409210492000,1014
1409210503000,1014
1409210512000,1010
1409210523000,1010
1409210535000,1012
1409210543000,1010
1409210555000,1010
1409210572000,1012
1409210583000,1012
1409210591000,1012
1409210601000,1012
1409210612000,1012
1409210622000,1014
1409210633000,1008
1409210642000,1008
1409210652000,1012
1409210662000,1016
1409210674000,1016
1409210683000,1036
1409210691000,1020
1409210702000,1020
1409210726000,1018
1409210743000,1029
1409210753000,482
1409210761000,482
1409210773000,479
1409210781000,491
1409210791000,491
1409210803000,472
1409210812000,469
1409210825000,469
1409210834000,471
1409210843000,473
1409210851000,473
1409210862000,470
1409210873000,471
1409210884000,471
1409210891000,474
1409210912000,471
1409210932000,474
1409210942000,474
1409210956000,470
1409210961000,473
1409210971000,473
1409210981000,470
1409210992000,473
1409211003000,473
1409211013000,470
1409211020000,472
1409211032000,472
1409211043000,472
1409211054000,472
1409211063000,472
1409211081000,472
